"Source:","D:\Projekty\FAMO\some_wave_v2\some_wave_v2.sch"
"Date:","19.09.2022 13:37:35"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","143"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comm"
"","","R7","24k9 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R8","82,5k (82k) 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R9","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R10","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R11","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R12","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R13","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R14","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R15","3k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R16","3k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R17","3k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R18","3k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R19","3k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R20","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R21","3k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R22","1k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R23","1k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R24","49,9R 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R25","49,9R 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R26","1k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R27","1k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R28","1k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R29","1k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R30","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R31","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R32","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R33","7k5 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R34","7k5 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R35","7k5 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R36","30k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R37","30k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R38","30k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R39","15k 1%","Device:R","Resistors_SMD:R_0603","~",""
